,EstablishDate,Datum,Zone,Longitude_NAD83,Latitude_NAD83,PrimaryKey,ProjectKey,AH_AnnForbCover,AH_AnnForbGrassCover,AH_AnnGrassCover,AH_ForbCover,AH_ForbGrassCover,AH_GrassCover,AH_HerbLitterCover,AH_PerenForbCover,AH_PerenForbGrassCover,AH_PerenGrassCover,AH_PerenShrubCover,AH_PerenSubShrubCover,AH_PerenSucculentCover,AH_PerenWoodyCover,AH_ShrubCover,AH_SubShrubCover,AH_SucculentCover,AH_TotalLitterCover,AH_WoodyCover,AH_WoodyLitterCover,BareSoilCover,TotalFoliarCover,GapCover_25_50,GapCover_51_100,GapCover_101_200,GapCover_200_plus,GapCover_25_plus,Mean_Max_Hgt
5,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692015-05-05,NWERN_JER,0.084245998,0.168491997,0.084245998,4.970513901,25.0210615,20.55602359,28.64363943,4.886267902,24.9368155,20.47177759,8.930075821,0.50547599,0,9.435551811,8.930075821,0.50547599,0,28.89637742,9.435551811,0.421229992,39.8483572,32.01347936,10.55666667,17.09666667,27.33,19.46333333,74.44666667,27.36956522
6,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692015-09-24,NWERN_JER,0,0,0,6.323777403,25.37942664,19.64586847,22.17537943,6.323777403,25.37942664,19.64586847,10.28667791,1.011804384,0,11.21416526,10.28667791,1.011804384,0,22.34401349,11.21416526,0.168634064,31.70320405,33.30522766,12,21.01,22.57666667,14.00333333,69.59,30.61870504
7,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692016-03-28,NWERN_JER,0.252951096,0.252951096,0,1.854974705,16.10455312,14.33389545,20.32040472,1.602023609,15.85160202,14.33389545,5.902192243,0.337268128,0,6.239460371,5.902192243,0.337268128,0,20.57335582,6.239460371,0.337268128,39.03878583,21.07925801,8.803333333,16.28333333,22.55,32.4,80.03666667,26.21804511
8,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692016-07-19,NWERN_JER,0.168491997,0.168491997,0,1.179443976,13.05812974,11.87868576,21.22999158,1.01095198,12.88963774,11.87868576,9.51979781,0.421229992,0,9.941027801,9.51979781,0.421229992,0,21.39848357,9.941027801,0.421229992,31.00252738,21.81971356,5.553333333,13.98666667,22.49333333,38.98666667,81.02,25.3828125
9,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692016-10-24,NWERN_JER,0,0.084245998,0.084245998,1.179443976,14.06908172,12.88963774,17.52316765,1.179443976,13.98483572,12.80539174,9.604043808,0.252737995,0,9.856781803,9.604043808,0.252737995,0,17.94439764,9.856781803,0.758213985,37.40522325,22.07245156,6.28,12.46666667,24.74,37.6,81.08666667,25.56818182
10,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692017-03-29,NWERN_JER,0,0,0,0.673967987,8.50884583,7.919123842,13.39511373,0.673967987,8.50884583,7.919123842,5.897219882,0,0,5.897219882,5.897219882,0,0,13.73209773,5.897219882,0.758213985,35.1305813,13.64785173,5,11.09333333,20.07666667,49.68666667,85.85666667,23.67213115
11,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692017-08-08,NWERN_JER,0.084245998,0.084245998,0,3.706823926,15.50126369,12.04717776,12.88963774,3.622577928,15.41701769,12.04717776,11.79443976,0.842459983,0,12.46840775,11.79443976,0.842459983,0,12.97388374,12.46840775,0.336983993,33.36141533,25.44229149,6.5,15.45666667,24.03333333,30.29333333,76.28333333,27.74418605
12,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692017-11-14,NWERN_JER,0.084317032,0.084317032,0,5.227655987,18.63406408,14.41821248,24.62057336,5.143338954,18.54974705,14.41821248,10.96121417,0.84317032,0,11.80438449,10.96121417,0.84317032,0,24.62057336,11.80438449,0.337268128,31.70320405,25.96964587,7.256666667,14.73666667,20.49,35.83,78.31333333,31.14615385
13,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692018-03-08,NWERN_JER,0,0,0,0.758213985,12.80539174,12.04717776,20.2190396,0.758213985,12.80539174,12.04717776,6.571187869,0.50547599,0,6.99241786,6.571187869,0.50547599,0,20.55602359,6.99241786,0.842459983,37.32097725,18.44987363,5.276666667,10.45333333,17.51333333,50.07666667,83.32,30.08130081
14,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692018-06-11,NWERN_JER,0,0,0,1.853411963,12.97388374,11.20471778,20.0505476,1.853411963,12.97388374,11.20471778,13.39511373,0.084245998,0,13.39511373,13.39511373,0.084245998,0,20.2190396,13.39511373,0.842459983,39.51137321,23.84161752,3.64,10.64333333,20.39333333,44.80333333,79.48,32.81512605
15,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692018-10-03,NWERN_JER,0,0,0,1.433389545,10.7925801,9.359190556,18.21247892,1.433389545,10.7925801,9.359190556,12.81618887,0.674536256,0,13.32209106,12.81618887,0.674536256,0,18.21247892,13.32209106,0.674536256,34.4856661,22.00674536,4.006666667,10.72333333,17.37,47.38333333,79.48333333,29.86554622
16,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692019-03-05,NWERN_JER,0.084317032,0.168634064,0.084317032,0.590219224,9.10623946,8.516020236,16.61045531,0.505902192,8.937605396,8.431703204,6.829679595,0.084317032,0,6.913996627,6.829679595,0.084317032,0,16.94772344,6.913996627,1.096121417,34.90725126,15.0084317,3,9.906666667,20.32,53.59666667,86.82333333,29.58878505
1,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692019-06-07,NWERN_JER,0.084245998,0.084245998,0,1.853411963,8.761583825,7.076663858,15.41701769,1.769165965,8.677337826,7.076663858,15.58550969,0.50547599,0,16.09098568,15.58550969,0.50547599,0,15.58550969,16.09098568,1.095197978,28.55939343,22.66217355,3.946666667,15.22333333,18.71666667,38.77666667,76.66333333,31.69672131
19,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692019-09-18,NWERN_JER,0.168634064,0.168634064,0,2.192242833,10.70826307,8.6846543,14.83979764,2.023608769,10.53962901,8.6846543,15.34569983,0.674536256,0,15.76728499,15.34569983,0.674536256,0,15.09274874,15.76728499,0.590219224,30.43844857,24.1989882,5.506666667,11.53333333,22.88333333,36.53,76.45333333,33.46721311
18,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692019-10-31,NWERN_JER,0.168491997,0.168491997,0,0.842459983,8.424599832,7.582139848,18.19713564,0.673967987,8.256107835,7.582139848,14.74304971,1.095197978,0,15.50126369,14.74304971,1.095197978,0,18.28138163,15.50126369,0.926705981,41.87026116,21.65122157,3.55,9.91,22.10333333,42.69333333,78.25666667,32.8034188
4,2015-05-01T00:00:00.000Z,WGS84,13S,-106.739,32.6271,15050113465465692019-12-13,NWERN_JER,0.168776371,0.168776371,0,1.012658228,9.367088608,8.438818565,20.92827004,0.843881857,9.198312236,8.438818565,8.101265823,0.843881857,0,8.860759494,8.101265823,0.843881857,0,21.01265823,8.860759494,0.337552743,33.41772152,16.54008439,3,9.326666667,17.96666667,55.22,85.51333333,31.89285714
